127.0.0.1 - admin [11/Apr/2026:07:30:32 +0000] "GET /login HTTP/1.1" 200 11011 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
127.0.0.1 - - [11/Apr/2026:07:30:50 +0000] "GET / HTTP/1.1" 302 199 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
127.0.0.1 - - [11/Apr/2026:07:30:50 +0000] "GET /login HTTP/1.1" 200 11011 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
127.0.0.1 - - [11/Apr/2026:07:30:54 +0000] "POST /login HTTP/1.1" 302 189 "-" "curl/8.5.0"
127.0.0.1 - - [11/Apr/2026:07:30:54 +0000] "POST / HTTP/1.1" 405 153 "-" "curl/8.5.0"
127.0.0.1 - - [11/Apr/2026:07:31:04 +0000] "GET / HTTP/1.1" 302 199 "-" "Mozilla/5.0 (iPhone13,2; U; CPU iPhone OS 14_0 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/15E148 Safari/602.1"
127.0.0.1 - - [11/Apr/2026:07:31:04 +0000] "GET /login HTTP/1.1" 200 11011 "-" "Mozilla/5.0 (iPhone13,2; U; CPU iPhone OS 14_0 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/15E148 Safari/602.1"
127.0.0.1 - - [11/Apr/2026:07:31:08 +0000] "POST /login HTTP/1.1" 302 189 "-" "curl/8.5.0"
127.0.0.1 - - [11/Apr/2026:07:31:08 +0000] "POST / HTTP/1.1" 405 153 "-" "curl/8.5.0"
127.0.0.1 - - [11/Apr/2026:07:31:16 +0000] "POST /login HTTP/1.1" 302 189 "-" "curl/8.5.0"
127.0.0.1 - - [11/Apr/2026:07:31:16 +0000] "POST / HTTP/1.1" 405 153 "-" "curl/8.5.0"
127.0.0.1 - - [11/Apr/2026:07:31:38 +0000] "POST /login HTTP/1.1" 302 189 "-" "python-requests/2.31.0"
127.0.0.1 - - [11/Apr/2026:07:31:38 +0000] "GET / HTTP/1.1" 200 18251 "-" "python-requests/2.31.0"
127.0.0.1 - - [11/Apr/2026:07:31:43 +0000] "POST /login HTTP/1.1" 302 189 "-" "curl/8.5.0"
127.0.0.1 - - [11/Apr/2026:07:32:17 +0000] "POST /login HTTP/1.1" 302 189 "-" "curl/8.5.0"
127.0.0.1 - - [11/Apr/2026:07:32:17 +0000] "POST / HTTP/1.1" 405 153 "-" "curl/8.5.0"
127.0.0.1 - - [11/Apr/2026:07:32:22 +0000] "POST /login HTTP/1.1" 302 189 "-" "curl/8.5.0"
127.0.0.1 - - [11/Apr/2026:07:32:25 +0000] "HEAD / HTTP/1.1" 302 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.3"
127.0.0.1 - - [11/Apr/2026:07:32:25 +0000] "HEAD /login HTTP/1.1" 200 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.3"
127.0.0.1 - - [11/Apr/2026:07:32:29 +0000] "POST /login HTTP/1.1" 302 189 "-" "curl/8.5.0"
127.0.0.1 - - [11/Apr/2026:07:32:29 +0000] "GET / HTTP/1.1" 200 18251 "-" "curl/8.5.0"
127.0.0.1 - admin [11/Apr/2026:07:32:57 +0000] "GET /login HTTP/1.1" 200 11011 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
127.0.0.1 - admin [11/Apr/2026:07:33:10 +0000] "POST /login HTTP/1.1" 302 189 "https://nyceats.openclapp.com/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
127.0.0.1 - admin [11/Apr/2026:07:33:10 +0000] "GET / HTTP/1.1" 200 18251 "https://nyceats.openclapp.com/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
127.0.0.1 - admin [11/Apr/2026:07:33:17 +0000] "GET /trips HTTP/1.1" 200 22789 "https://nyceats.openclapp.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
127.0.0.1 - admin [11/Apr/2026:07:36:07 +0000] "GET /admin/users HTTP/1.1" 200 15182 "https://nyceats.openclapp.com/trips" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
127.0.0.1 - admin [11/Apr/2026:07:36:26 +0000] "GET /admin/monitoring HTTP/1.1" 200 25725 "https://nyceats.openclapp.com/admin/users" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
127.0.0.1 - - [11/Apr/2026:07:37:02 +0000] "GET / HTTP/1.1" 302 199 "-" "okhttp/5.3.0"
127.0.0.1 - - [11/Apr/2026:07:37:02 +0000] "GET /login HTTP/1.1" 200 11011 "-" "okhttp/5.3.0"
127.0.0.1 - - [11/Apr/2026:07:37:02 +0000] "GET /favicon.ico HTTP/1.1" 404 22 "-" "okhttp/5.3.0"
127.0.0.1 - - [11/Apr/2026:07:37:02 +0000] "GET /favicon.png HTTP/1.1" 404 22 "-" "okhttp/5.3.0"
127.0.0.1 - - [11/Apr/2026:07:37:24 +0000] "GET / HTTP/1.1" 302 199 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/138.0.7204.23 Safari/537.36"
127.0.0.1 - - [11/Apr/2026:07:37:24 +0000] "GET /login HTTP/1.1" 200 11011 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/138.0.7204.23 Safari/537.36"
127.0.0.1 - - [11/Apr/2026:07:37:24 +0000] "GET /favicon.ico HTTP/1.1" 404 22 "https://nyceats.openclapp.com/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/138.0.7204.23 Safari/537.36"
127.0.0.1 - admin [11/Apr/2026:07:37:27 +0000] "GET /admin/users HTTP/1.1" 200 15182 "https://nyceats.openclapp.com/admin/monitoring" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
127.0.0.1 - admin [11/Apr/2026:07:37:30 +0000] "GET /trips HTTP/1.1" 200 22789 "https://nyceats.openclapp.com/admin/users" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
127.0.0.1 - admin [11/Apr/2026:07:37:30 +0000] "GET / HTTP/1.1" 200 18251 "https://nyceats.openclapp.com/trips" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
127.0.0.1 - - [11/Apr/2026:07:39:38 +0000] "GET /api/resy/search?q=keens&city=nyc HTTP/1.1" 302 199 "-" "curl/8.5.0"
127.0.0.1 - - [11/Apr/2026:07:39:43 +0000] "GET /api/resy/search?q=keens&city=nyc HTTP/1.1" 302 199 "-" "curl/8.5.0"
127.0.0.1 - - [11/Apr/2026:07:39:48 +0000] "POST /login HTTP/1.1" 302 189 "-" "curl/8.5.0"
127.0.0.1 - - [11/Apr/2026:07:39:49 +0000] "GET /api/resy/search?q=keens&city=nyc HTTP/1.1" 200 14 "-" "curl/8.5.0"
127.0.0.1 - - [11/Apr/2026:07:39:53 +0000] "GET /api/resy/search?q=steak&city=nyc HTTP/1.1" 200 14 "-" "curl/8.5.0"
127.0.0.1 - - [11/Apr/2026:07:41:13 +0000] "POST /login HTTP/1.1" 302 189 "-" "curl/8.5.0"
127.0.0.1 - - [11/Apr/2026:07:41:13 +0000] "GET /api/resy/search?q=keens&city=nyc HTTP/1.1" 200 14 "-" "curl/8.5.0"
127.0.0.1 - - [11/Apr/2026:07:44:51 +0000] "POST /login HTTP/1.1" 302 189 "-" "curl/8.5.0"
127.0.0.1 - - [11/Apr/2026:07:44:51 +0000] "GET /api/resy/search?q=keens&city=nyc HTTP/1.1" 200 145 "-" "curl/8.5.0"
127.0.0.1 - - [11/Apr/2026:07:44:59 +0000] "GET /api/resy/search?q=steak&city=nyc HTTP/1.1" 200 581 "-" "curl/8.5.0"
