"ReferenceID","LegalName","ReportingYear","FilingType","FilingStatus","MarketType","ProductName","ProposedRateIncrease","FinalRateIncrease","MemberAffected","DateEffective"
"SHHP-133983608","Sharp Health Plan",2024,"Rate Filing","In Progress","Small Group","3Q2024 SG NGF Rates","6.5","","","07/01/2024"
"UHLC-134000202","UnitedHealthcare Benefits Plan of California",2024,"Rate Filing","In Progress","Small Group","UHG CA INS 202407 UHCBP","8.5","","","07/01/2024"
"UHLC-134000193","UHC of California",2024,"Rate Filing","In Progress","Small Group","UHG CA HMO 202407","4.6","","","07/01/2024"
"BCCA-134013833","California Physicians' Service",2024,"Rate Filing","In Progress","Small Group","Small Group Plans, Q3, 2024","7.9","","","07/01/2024"
"HNLH-133996382","Health Net of California, Inc.",2024,"Rate Filing","In Progress","Small Group","SG Rates 2024 Q3 NG","7.9","","","07/01/2024"
"AETN-133997760","Aetna Health of California Inc.",2024,"Rate Filing","In Progress","Small Group","CA SG 3Q24 AHI","12.5","","","07/01/2024"
"AWLP-134011440","Blue Cross of California",2024,"Rate Filing","In Progress","Small Group","DMHC Small Group Off Exchange 3Q24","7.6","","","07/01/2024"
"UHLC-133573115","UHC of California",2023,"Rate Filing","Completed","Small Group","UHG CA HMO 202307","7.6","7.6","48902","07/01/2023"
"SHHP-133565246","Sharp Health Plan",2023,"Rate Filing","Completed","Small Group","3Q2023 SG NGF Rates","3.5","3.4","23326","07/01/2023"
"AWLP-133569939","Blue Cross of California",2023,"Rate Filing","Completed","Small Group","DMHC Small Group Off Exchange 3Q23","6.7","6.7","442591","07/01/2023"
"HNLH-133578583","Health Net of California, Inc.",2023,"Rate Filing","Completed","Small Group","SG Rates 2023 Q3 ACA (NG)","1.2","1.2","89122","07/01/2023"
"BCCA-133583691","California Physicians' Service",2023,"Rate Filing","Completed","Small Group","Small Group Plans, Q3, 2023","9.1","9.1","472941","07/01/2023"
"AETN-133568324","Aetna Health of California Inc.",2023,"Rate Filing","Completed","Small Group","CA SG 3Q23 AHI","12.4","12.4","24435","07/01/2023"
"UHLC-133692359","UHC of California",2023,"Rate Filing","Completed","Small Group","UHG CA HMO 202310","7.6","7.6","45196","10/01/2023"
"SUTT-133694352","Sutter Health Plan",2023,"Rate Filing","Completed","Small Group","SG_2023_Q4","7.74","7.74","32430","10/01/2023"
"UHLC-133662817","UnitedHealthcare Benefits Plan of California",2023,"Rate Filing","Completed","Small Group","UHG CA INS 202310 UHCBP","2.7","2.7","116328","10/01/2023"
"AWLP-133688406","Blue Cross of California",2023,"Rate Filing","Completed","Small Group","DMHC Small Group Off Exchange 4Q23","7.9","7.9","454436","10/01/2023"
"WNHA-133694599","Western Health Advantage",2023,"Rate Filing","Withdrawn Prior to Determination","Small Group","Small Group 2023 Q4","8.05","","23738","10/01/2023"
"SHHP-133666221","Sharp Health Plan",2023,"Rate Filing","Completed","Small Group","4Q2023 SG NGF Rates","5.0","5.0","22828","10/01/2023"
"SHHP-133683773","Sharp Health Plan",2023,"Rate Filing","Completed","Small Group","Q42023 SG GF Rates","1.3","1.3","792","10/01/2023"
"BCCA-133695761","California Physicians' Service",2023,"Rate Filing","Completed","Small Group","Small Group Plans, Q4, 2023","7.5","7.5","441778","10/01/2023"
"AETN-133697768","Aetna Health of California Inc.",2023,"Rate Filing","Completed","Small Group","CA SG 4Q23 AHI","11.7","11.7","24125","10/01/2023"
"HNLH-133692671","Health Net of California, Inc.",2023,"Rate Filing","Withdrawn Prior to Determination","Small Group","SG Rates 2023 Q4 ACA (NG)","6.7","","97153","10/01/2023"
"WNHA-133745014","Western Health Advantage",2023,"Rate Filing","Completed","Small Group","Small Group 2023 Q4","8.05","8.05","23738","10/01/2023"
"CCHP-133744956","Chinese Community Health Plan",2023,"Rate Filing","Completed","Individual","CCHP 2024 Rate Filing for Individual & Family Plans","5","5","3363 ","01/01/2024"
"KHPI-133687498","Kaiser Foundation Health Plan, Inc.",2023,"Rate Filing","Completed","Individual","KFHP Non-Grandfathered Individual HMO Plan Rates, January 2024","7.4","7.4","679929 ","01/01/2024"
"AWLP-133743210","Blue Cross of California",2023,"Rate Filing","Completed","Individual","DMHC Individual On and Off Exchange","10.8","10.8","226608 ","01/01/2024"
"LACH-133738244","Local Initiative Health Authority for Los Angeles County",2023,"Rate Filing","Completed","Individual","L.A. Care Covered","6","6","113866 ","01/01/2024"
"IEHP-133745494","Inland Empire Health Plan",2023,"New Product Filing","Completed","Individual","IEHP Covered","0","0","5731 ","01/01/2024"
"WNHA-133745465","Western Health Advantage",2023,"Rate Filing","Completed","Individual","Individual Q1 2024","5.5","5.5","11910 ","01/01/2024"
"SUTT-133743858","Sutter Health Plan",2023,"Rate Filing","Completed","Individual","IFP_2024","6.46","6.46","2940 ","01/01/2024"
"SHHP-133703079","Sharp Health Plan",2023,"Rate Filing","Completed","Individual","CY2024 Individual Product Rates","6.1","6.1","38208 ","01/01/2024"
"MHCA-133743848","Molina Healthcare of California",2023,"Rate Filing","Completed","Individual","Molina Marketplace 2024","8.6","8.6","53105 ","01/01/2024"
"SCCO-133725552","Santa Clara County",2023,"Rate Filing","Completed","Individual","California Health Benefit Exchange Individual Plan","7","7","21597 ","01/01/2024"
"HNLH-133740937","Health Net of California, Inc.",2023,"Rate Filing","Completed","Individual","IEX-IFP Rates 2024 ACA (NG)","8.3","8.3","125731 ","01/01/2024"
"AETN-133687758","Aetna Health of California Inc.",2023,"Rate Filing","Completed","Individual","CA IVL 2024 AHI","-0.89","-0.89","1523 ","01/01/2024"
"BCCA-133745553","California Physicians' Service",2023,"Rate Filing","Completed","Individual","2024 IFP NGF Rates","15","15","514811 ","01/01/2024"
"HNLH-133745510","Health Net of California, Inc.",2023,"Rate Filing","Completed","Small Group","SG Rates 2023 Q4 ACA (NG)","6.7","6.7","97153","10/01/2023"
"SHHP-133722100","Sharp Health Plan",2023,"Rate Filing","Completed","Small Group","1Q2024 SG NGF Rates","4.4","4.4","22591 ","01/01/2024"
"CCHP-133747145","Chinese Community Health Plan",2023,"Rate Filing","Completed","Small Group","CCHP 2024 Rate Filing for Small Group","4.9","4.9","789","01/01/2024"
"SUTT-133743845","Sutter Health Plan",2023,"Rate Filing","Completed","Small Group","SG_2024","8.72","8.72","32430 ","01/01/2024"
"KHPI-133687699","Kaiser Foundation Health Plan, Inc.",2023,"Rate Filing","Completed","Small Group","KFHP Non-Grandfathered Small Group HMO Plan Rates, January 2024","9.1","9.1","667860 ","01/01/2024"
"AWLP-133739066","Blue Cross of California",2023,"Rate Filing","Completed","Small Group","DMHC Small Group Off Exchange 1Q24","8.5","8.5","454428 ","01/01/2024"
"UHLC-133724252","UnitedHealthcare Benefits Plan of California",2023,"Rate Filing","Completed","Small Group","UHG CA INS 202401 UHCBP","5.2","5.2","115557 ","01/01/2024"
"MLSD-133743195","Community Care Health Plan, Inc.",2023,"Rate Filing","Completed","Small Group","Community Care Health Plan Small Group Off-Exchange","-6.5","-6.5","1470 ","01/01/2024"
"AETN-133743006","Aetna Health of California Inc.",2023,"Rate Filing","Completed","Small Group","CA SG 1Q24 AHI","13.4","13.4","24125 ","01/01/2024"
"UHLC-133744470","UHC of California",2023,"Rate Filing","Completed","Small Group","UHG CA HMO 202401","7.5","7.5","46946 ","01/01/2024"
"HNLH-133741005","Health Net of California, Inc.",2023,"Rate Filing","Completed","Small Group","SG Rates 2024 Q1 ACA (NG)","7.1","7.1","100801 ","01/01/2024"
"WNHA-133747233","Western Health Advantage",2023,"Rate Filing","Completed","Small Group","Small Group Rates Q1 2024","9.17","9.17","23397 ","01/01/2024"
"BCCA-133746960","California Physicians' Service",2023,"Rate Filing","Completed","Small Group","Small Group Plans, Q1, 2024","8.4","8.4","411525 ","01/01/2024"
"MLSD-133785284","County of Ventura",2023,"Rate Filing","Completed","Large Group","VCHCP - Large Group Methodology Annual Filing","","","","01/01/2024"
"WNHA-133796534","Western Health Advantage",2023,"Rate Filing","Completed","Large Group","Large Group Methodology Annual Filing","","","","01/01/2024"
"CCHP-133798787","Chinese Community Health Plan",2023,"Rate Filing","Completed","Large Group","Large Group Experience Methodology","","","","01/01/2024"
"SFHP-133789981","San Francisco Community Health Authority",2023,"Rate Filing","Completed","Large Group","Healthy Workers - HMO","","","","01/01/2024"
"CCHP-133800222","Chinese Community Health Plan",2023,"Rate Filing","Completed","Large Group","100% Community Rating Methodology ","","","","01/01/2024"
"AWLP-133800636","Blue Cross of California",2023,"Rate Filing","Completed","Large Group","DMHC Large Group Methodology Annual Filing for 2024 Renewal, Experience Rated","","","","01/01/2024"
"AWLP-133800774","Blue Cross of California",2023,"Rate Filing","Completed","Large Group","DMHC Large Group Methodology Annual Filing for 2024 Renewal, Community Rated","","","","01/01/2024"
"HPSM-133796353","San Mateo Health Commission",2023,"Rate Filing","Completed","Large Group","HealthWorx","","","","01/01/2024"
"CCGP-133796934","Cigna HealthCare of California, Inc.",2023,"Rate Filing","Completed","Large Group","HMO ","","","","01/01/2024"
"MLSD-133779627","Community Care Health Plan, Inc.",2023,"Rate Filing","Completed","Large Group","Community Care Health Plan - Large Group Methodology Annual Filing","","","","01/01/2024"
"MLSD-133779629","Community Care Health Plan, Inc.",2023,"Rate Filing","Completed","Large Group","Community Care Health Plan - Large Group Methodology Annual Filing","","","","01/01/2024"
"SHHP-133784357","Sharp Health Plan",2023,"Rate Filing","Completed","Large Group","2024 LG Rates AB 731 - Blended","","","","01/01/2024"
"SHHP-133784360","Sharp Health Plan",2023,"Rate Filing","Completed","Large Group","2024 LG Rates AB 731 - Community","","","","01/01/2024"
"KHPI-133800635","Kaiser Foundation Health Plan, Inc.",2023,"Rate Filing","Completed","Large Group","Annual Large Group Rate Methodology Filing-Blended or 100% Experience","","","","01/01/2024"
"KHPI-133800654","Kaiser Foundation Health Plan, Inc.",2023,"Rate Filing","Completed","Large Group","Annual Large Group Methodology Filing-Community","","","","01/01/2024"
"UHLC-133789588","UHC of California",2023,"Rate Filing","Completed","Large Group","UHG CA HMO LG 202401 EXPERIENCE RATED","","","","01/01/2024"
"UHLC-133789664","UnitedHealthcare Benefits Plan of California",2023,"Rate Filing","Completed","Large Group","UHG CA INS LG 202401 UHCBP Experience Rated","","","","01/01/2024"
"UHLC-133789576","UHC of California",2023,"Rate Filing","Completed","Large Group","UHG CA HMO LG 202401 COMMUNITY RATED","","","","01/01/2024"
"UHLC-133789600","UnitedHealthcare Benefits Plan of California",2023,"Rate Filing","Completed","Large Group","UHG CA INS LG 202401 UHCBP Community Rated","","","","01/01/2024"
"SCCO-133779897","Santa Clara County",2023,"Rate Filing","Completed","Large Group","Large Group - HMO","","","","01/01/2024"
"SCCO-133779905","Santa Clara County",2023,"Rate Filing","Completed","Large Group","Large Group - HMO","","","","01/01/2024"
"KHPI-133737326","Kaiser Foundation Health Plan, Inc.",2023,"Rate Filing","Completed","Small Group","KFHP Grandfathered Small Group HMO Rates Jan 2024","9.3","9.3","131472","01/01/2024"
"KHPI-133737327","Kaiser Foundation Health Plan, Inc.",2023,"Rate Filing","Completed","Individual","KFHP Grandfathered Individual Plan HMO Rates Jan 2024","9.3","9.3","30086","01/01/2024"
"SUTT-133804606","Sutter Health Plan",2023,"Rate Filing","Completed","Large Group","LG_2023_AB731_Rate_Filing","","","","01/01/2024"
"SCCO-133791594","Santa Clara County",2023,"Rate Filing","Completed","Small Group","Small Group GF Rate Filing","4","4","30","01/01/2024"
"SCRP-133804532","Scripps Health Plan Services, Inc.",2023,"Rate Filing","Completed","Large Group","Scripps Health Plan","","","","01/01/2024"
"AETN-133742103","Aetna Health of California Inc.",2023,"Rate Filing","Completed","Large Group","2023-09 AB731 Manual Rating Filing - DMHC","","","","01/01/2024"
"AETN-133743264","Aetna Health of California Inc.",2023,"Rate Filing","Completed","Large Group","2023-09 AB731 Experience Rating Filing - DMHC","","","","01/01/2024"
"SUTT-133804612","Sutter Health Plan",2023,"Rate Filing","Completed","Large Group","LG_2023_AB731_Rate_Filing_Community","","","","01/01/2024"
"BCCA-133804405","California Physicians' Service",2023,"Rate Filing","Completed","Large Group","Large Group Plans","","","","01/01/2024"
"BCCA-133804393","California Physicians' Service",2023,"Rate Filing","Completed","Large Group","Large Group Plans","","","","01/01/2024"
"HNLH-133797100","Health Net of California, Inc.",2023,"Rate Filing","Completed","Large Group","AB 731 Large Group Methodology","","","","01/01/2024"
"LACH-133804671","Local Initiative Health Authority for Los Angeles County",2023,"Rate Filing","Completed","Large Group","PASC-SEIU Home Care Workers Health Care Plan for In-Home Support Service Workers","","","","01/01/2024"
"CCOH-133816742","Contra Costa County Medical Services",2023,"Rate Filing","Completed","Large Group","AB 731 Large Group","","","","01/01/2024"
"AAJP-133820992","Alameda Alliance For Health",2023,"Rate Filing","Completed","Large Group","Alameda Alliance for Health AB 731 Filing 2023","","","","01/01/2024"
"SSHP-133821329","MemorialCare Select Health Plan",2023,"Rate Filing","Completed","Large Group","Large Group Method","","","","01/01/2024"
"MHCA-133823171","Molina Healthcare of California",2023,"Annual/Aggregate Filing","Completed","Individual","Individual Annual Aggregate Rate Filing","","10.65","","01/01/2023"
"WNHA-133830804","Western Health Advantage",2023,"Annual/Aggregate Filing","Completed","Small Group","Small Group Annual Aggregate Rate Filing","","8.49","","01/01/2023"
"WNHA-133830534","Western Health Advantage",2023,"Annual/Aggregate Filing","Completed","Individual","Individual Annual Aggregate Rate ","","1.77","","01/01/2023"
"LACH-133834096","Local Initiative Health Authority for Los Angeles County",2023,"Annual/Aggregate Filing","Completed","Individual","LA Care Covered","",".93","","01/01/2023"
"BCCA-133831763","California Physicians' Service",2023,"Annual/Aggregate Filing","Completed","Small Group","Small Group Plans","","8.47","","01/01/2023"
"SSHP-133833943","MemorialCare Select Health Plan",2023,"Annual/Aggregate Filing","Completed","Large Group","LG Aggregate Rate and Rx Cost Data","N/A","-0.3","261","2023"
"BCCA-133831720","California Physicians' Service",2023,"Annual/Aggregate Filing","Completed","Large Group","Large Group Plans","N/A","8.1","482,736","2023"
"SHHP-133790301","Sharp Health Plan",2023,"Annual/Aggregate Filing","Completed","Individual","Individual Annual Aggregate Rate Filing - CY2023","","6.65","","01/01/2023"
"SHHP-133790309","Sharp Health Plan",2023,"Annual/Aggregate Filing","Completed","Small Group","Small Group Annual Aggregate Rate Filing - CY2023","","4.15","","01/01/2023"
"WNHA-133834934","Western Health Advantage",2023,"Annual/Aggregate Filing","Completed","Large Group","Large Group Aggregate Rate","N/A","3.9","64,848","2023"
"OHIN-133836142","Oscar Health Plan of California",2023,"Annual/Aggregate Filing","Completed","Individual","Oscar Ind Annual Aggregate Rate Data Report 2023","","10.37","","01/01/2023"
"HPSM-133823972","San Mateo Health Commission",2023,"Annual/Aggregate Filing","Completed","Small Group","HealthWorx","","","","2023"
"AWLP-133835027","Blue Cross of California",2023,"Annual/Aggregate Filing","Completed","Individual","Annual Aggregate Rate Data Form","","4.23","","01/01/2023"
"AWLP-133835852","Blue Cross of California",2023,"Annual/Aggregate Filing","Completed","Small Group","Annual Aggregate Rate Data Form","","8","","01/01/2023"
"BCCA-133831734","California Physicians' Service",2023,"Annual/Aggregate Filing","Completed","Individual","IFP Plans","","8.88","","01/01/2023"
"CCGP-133836483","Cigna HealthCare of California, Inc.",2023,"Rate Filing","Completed","Large Group","HMO ","","","","01/01/2024"
"CCHP-133836693","Chinese Community Health Plan",2023,"Annual/Aggregate Filing","Completed","Small Group","CCHP 2023 Aggregate Rate Filing for Small Group","","4.68","","01/01/2023"
"CCHP-133836608","Chinese Community Health Plan",2023,"Annual/Aggregate Filing","Completed","Individual","CCHP 2023 Aggregate Rate Filing for Individual and Family Plans","","6.05","","01/01/2023"
"AWLP-133828253","Blue Cross of California",2023,"Annual/Aggregate Filing","Completed","Large Group","DMHC Large Group Annual Aggregate Rate Data for 2023 Renewal","N/A","8.0","1,059,384","2023"
"KHPI-133806005","Kaiser Foundation Health Plan, Inc.",2023,"Annual/Aggregate Filing","Completed","Large Group","2023 KFHP California Large Group Annual Aggregate Rate Data Report","N/A","5.9","5,131,373","2023"
"MLSD-133828972","Community Care Health Plan, Inc.",2023,"Annual/Aggregate Filing","Completed","Large Group","Community Care Health Plan - Aggregate Rate and Prescription Drug Cost Data for Large Group Market","N/A","5.7","10,439","2023"
"MLSD-133828967","Community Care Health Plan, Inc.",2023,"Annual/Aggregate Filing","Completed","Small Group","Community Care Health Plan - Small Group Annual Aggregate Rate Filing","","0","","01/01/2023"
"SUTT-133833997","Sutter Health Plan",2023,"Annual/Aggregate Filing","Completed","Large Group","LG_2023_SB546","N/A","4.6","68,742","2023"
"SUTT-133834007","Sutter Health Plan",2023,"Annual/Aggregate Filing","Completed","Small Group","Small_Group_2023_Annual_Aggregate_Rate_Filing","","1.76","","01/01/2023"
"LACH-133834076","Local Initiative Health Authority for Los Angeles County",2023,"Annual/Aggregate Filing","Completed","Large Group","PASC SEIU Homecare Workers Health Care Plan for In-Home Support Service Workers","","","","2023"
"KHPI-133805780","Kaiser Foundation Health Plan, Inc.",2023,"Annual/Aggregate Filing","Completed","Individual","2023 Individual Annual Aggregate Rate Filing","","4.08","","01/01/2023"
"SUTT-133833992","Sutter Health Plan",2023,"Annual/Aggregate Filing","Completed","Individual","Individual_2023_Annual_Aggregate_Rate_Filing","","5.27","","01/01/2023"
"UHLC-133831666","UnitedHealthcare Benefits Plan of California",2023,"Annual/Aggregate Filing","Completed","Small Group","AB 2118 Small Group Annual Aggregate Rate Info","","3.39","","01/01/2023"
"KHPI-133805805","Kaiser Foundation Health Plan, Inc.",2023,"Annual/Aggregate Filing","Completed","Small Group","2023 Small Group Annual Aggregate Rate Filing","","6.94","","01/01/2023"
"UHLC-133831639","UnitedHealthcare Benefits Plan of California",2023,"Annual/Aggregate Filing","Completed","Large Group","SB 546 - Large Group Annual Aggregate Rate Data Report","N/A","10.2","206,528","2023"
"UHLC-133831641","UHC of California",2023,"Annual/Aggregate Filing","Completed","Large Group","SB 546 - Large Group Annual Aggregate Rate Data Report","N/A","7.6","163,217","2023"
"UHLC-133831689","UHC of California",2023,"Annual/Aggregate Filing","Completed","Small Group","AB 2118 Small Group Annual Aggregate Rate Info","","6.97","","01/01/2023"
"SCCO-133825744","Santa Clara County",2023,"Annual/Aggregate Filing","Completed","Individual","VHP Individual","","4.62","","01/01/2023"
"SCCO-133825740","Santa Clara County",2023,"Annual/Aggregate Filing","Completed","Large Group","VHP Commercial Large Group","N/A","10.6","26,100","2023"
"SCCO-133825742","Santa Clara County",2023,"Annual/Aggregate Filing","Completed","Small Group","Small Group Grandfathered","","5","","01/01/2023"
"AETN-133837041","Aetna Health of California Inc.",2023,"Annual/Aggregate Filing","Completed","Small Group","2023 AB 2118 Annual Report - DMHC","","10.74","","01/01/2023"
"AETN-133837034","Aetna Health of California Inc.",2023,"Annual/Aggregate Filing","Completed","Individual","2023 IFP AB 2118 Annual Report - DMHC","-0.89","","","2023"
"AETN-133829955","Aetna Health of California Inc.",2023,"Annual/Aggregate Filing","Completed","Large Group","202310 SB 546 and SB 17 Filings - DMHC","N/A","7.7","143,849","2023"
"AAJP-133837783","Alameda Alliance For Health",2023,"Annual/Aggregate Filing","Completed","Large Group","Alameda Alliance for Health","","","","2023"
"SHHP-133838445","Sharp Health Plan",2023,"Annual/Aggregate Filing","Completed","Large Group","2023 LG SB 546","N/A","3.9","56,084","2023"
"MLSD-133838109","County of Ventura",2023,"Annual/Aggregate Filing","Completed","Large Group","VCHCP - Aggregate Rate and Prescription Drug Cost Data for Large Group Market","N/A","6.0","10,575","2023"
"HNLH-133802110","Health Net of California, Inc.",2023,"Annual/Aggregate Filing","Completed","Small Group","SG Aggregate Rate","","0.98","","01/01/2023"
"SCRP-133838621","Scripps Health Plan Services, Inc.",2023,"Annual/Aggregate Filing","Completed","Large Group","Scripps Health Plan HMO","N/A","1.5","16,304","2023"
"HNLH-133802104","Health Net of California, Inc.",2023,"Annual/Aggregate Filing","Completed","Individual","IEX-IFP Aggregrate Rate","","1.7","","01/01/2023"
"HNLH-133801996","Health Net of California, Inc.",2023,"Annual/Aggregate Filing","Completed","Large Group","LG Aggregate Rate & Rx Cost","N/A","6.1","266,934","2023"
"CCOH-133843063","Contra Costa County Medical Services",2023,"Annual/Aggregate Filing","Completed","Large Group","Large Group","N/A","7.5","4,732","2023"
"20234095","Santa Cruz-Monterey-Merced-San Benito-Mariposa Managed Medical Care Commission",2023,"Annual/Aggregate Filing","Completed","Large Group","SB 546/SB 17 Large Group Annual Aggregate Rate Data Report","","","","2023"
"20233665","Santa Cruz-Monterey-Merced-San Benito-Mariposa Managed Medical Care Commission",2023,"Rate Filing","Completed","Large Group","AB 731 Large Group Filing","","","","01/01/2024"
"CCHP-133836845","Chinese Community Health Plan",2023,"Annual/Aggregate Filing","Completed","Large Group","CCHP 2023 Aggregate Rate Filing for Large Group","N/A","5.5","2,055","2023"
"HNLH-133825714","Health Net of California, Inc.",2023,"Rate Filing","Completed","Large Group","AB 731 Community LG Methodology","","","","01/01/2024"
"SFHP-133878710","San Francisco Community Health Authority",2023,"Annual/Aggregate Filing","Completed","Large Group","Healthy Workers HMO","","","","2023"
"CCGH-133897011","Cigna HealthCare of California, Inc.",2023,"Annual/Aggregate Filing","Completed","Large Group","Large Group Annual Aggregate Rate Data Report - DMHC","","","","2023"
"HNLH-133898828","Health Net of California, Inc.",2023,"Rate Filing","Completed","Small Group","SG Rates 2024 Q2 ACA (NG)","7.6","7.6","86065","04/01/2024"
"BCCA-133906894","California Physicians' Service",2023,"Rate Filing","Completed","Small Group","Small Group Plans, Q2, 2024","8.5","8.5","393246","04/01/2024"
"SHHP-133879535","Sharp Health Plan",2023,"Rate Filing","Completed","Small Group","2Q2024 SG NGF Rates","5.6","5.6","22282","04/01/2024"
"UHLC-133898637","UHC of California",2023,"Rate Filing","Completed","Small Group","UHG CA HMO 202404","5.2","5.2","40896","04/01/2024"
"AWLP-133901776","Blue Cross of California",2023,"Rate Filing","Completed","Small Group","DMHC Small Group Off Exchange 2Q24","7.8","7.8","76308","04/01/2024"
"AWLP-133901594","Blue Cross of California",2023,"Rate Filing","Completed","Individual","ABC Grandfathered Plans","8.8","8.8","10179","04/01/2024"
"UHLC-133898614","UnitedHealthcare Benefits Plan of California",2023,"Rate Filing","Completed","Small Group","UHG CA INS 202404 UHCBP","5.9","5.9","115121","04/01/2024"
"AETN-133894892","Aetna Health of California Inc.",2023,"Rate Filing","Completed","Small Group","CA SG 2Q24 AHI","9.7","9.7","24125","04/01/2024"
"AWLP-132740444","Blue Cross of California",2022,"Annual/Aggregate Filing","Completed","Individual","Annual Aggregate Rate Data Form","N/A","N/A","N/A","2020"
"HNLH-132688573","Health Net of California, Inc.",2022,"Annual/Aggregate Filing","Completed","Small Group","Individual/Small Group Plans","N/A","N/A","N/A","2020"
"BCCA-132713232","California Physicians' Service",2022,"Annual/Aggregate Filing","Completed","Individual","IFP and SG Plans","N/A","N/A","N/A","2020"
"KHPI-132683408","Kaiser Foundation Health Plan, Inc.",2022,"Annual/Aggregate Filing","Completed","Small Group","2020 CA Annual Aggregate Rate Data Report","N/A","N/A","N/A","2020"
"SHHP-132706800","Sharp Health Plan",2022,"Annual/Aggregate Filing","Completed","Small Group","Annual Aggregate Rate Data Report - CY2020","N/A","N/A","N/A","2020"
"SCCO-132718601","Santa Clara County",2022,"Annual/Aggregate Filing","Completed","Individual","Covered California IFP","N/A","N/A","N/A","2020"
"AETN-132677150","Aetna Health of California Inc.",2022,"Annual/Aggregate Filing","Completed","Small Group","2020 Annual Aggregate Rate Data Report - DMHC","N/A","N/A","N/A","2020"
"SUTT-132715650","Sutter Health Plan",2022,"Annual/Aggregate Filing","Completed","Small Group","2020_IFP_SG_Annual_Data","N/A","N/A","N/A","2020"
"OHIN-132719249","Oscar Health Plan of California",2022,"Annual/Aggregate Filing","Completed","Individual","Oscar CA Annual Aggregate Rate Data Report 2020","N/A","N/A","N/A","2020"
"LACH-132722352","Local Initiative Health Authority for Los Angeles County",2022,"Annual/Aggregate Filing","Completed","Individual","L.A. Care Covered","N/A","N/A","N/A","2020"
"MLSD-132751853","Community Care Health Plan, Inc.",2022,"Annual/Aggregate Filing","Completed","Small Group","Community Care Health Plan Small Group Off-Exchange","N/A","N/A","N/A","2020"
"CCHP-132717463","Chinese Community Health Plan",2022,"Annual/Aggregate Filing","Completed","Small Group","CCHP 2021 Aggregate Rate Filing for Small Group Plans","N/A","N/A","N/A","2020"
"MHCA-132717533","Molina Healthcare of California",2022,"Annual/Aggregate Filing","Completed","Individual","Molina Marketplace 2020","N/A","N/A","N/A","2020"
"WNHA-132731152","Western Health Advantage",2022,"Annual/Aggregate Filing","Completed","Small Group","2021 Annual Aggregate Rate Data","N/A","N/A","N/A","2020"
"UHLC-132713322","UHC of California",2022,"Annual/Aggregate Filing","Completed","Small Group","CA 2020 Annual Aggregate Rate Data Report UHC","N/A","N/A","N/A","2020"
"UHLC-132713324","UnitedHealthcare Benefits Plan of California",2022,"Annual/Aggregate Filing","Completed","Small Group","CA 2020 Annual Aggregate Rate Data Report BPCA","N/A","N/A","N/A","2020"
"MLSD-132717564","County of Ventura",2022,"Annual/Aggregate Filing","Completed","Small Group","VCHCP Aggregate Rate Filing Data Report","N/A","N/A","N/A","2020"
"AWLP-133147205","Blue Cross of California",2022,"Rate Filing","Completed","Large Group","DMHC Large Group Methodology Change Filing for 2022 Renewal, Experience Rated","","","","07/01/2022"
"AAJP-133170574","Alameda Alliance For Health",2022,"Rate Filing","Completed","Large Group","Alameda Alliance for Health","","","","07/01/2022"
"AWLP-133166327","Blue Cross of California",2022,"Rate Filing","Completed","Small Group","DMHC Small Group Off Exchange 3Q22","3.6","3.6","68,401","07/01/2022"
"SHHP-133140306","Sharp Health Plan",2022,"Rate Filing","Completed","Small Group","Q32022 SG NGF Rates","-1.0","-1.0","24,833","07/01/2022"
"AETN-133153701","Aetna Health of California Inc.",2022,"Rate Filing","Completed","Small Group","CA SG 3Q22 AHI","3.3","3.3","17,595","07/01/2022"
"HNLH-133164570","Health Net of California, Inc.",2022,"Rate Filing","Completed","Small Group","SBG Rates 2022 Q3 NG","1.4","1.4","71,448","07/01/2022"
"WNHA-133164927","Western Health Advantage",2022,"Rate Filing","Completed","Small Group","Small Group 2022 Q3","7.1","7.1","27,625","07/01/2022"
"UHLC-133170236","UHC of California",2022,"Rate Filing","Completed","Small Group","UHG CA HMO 202207","-0.8","-0.8","58,956","07/01/2022"
"BCCA-133175744","California Physicians' Service",2022,"Rate Filing","Completed","Small Group","Small Group Plans, Q3, 2022","6","6","115,162","07/01/2022"
"UHLC-133247346","UnitedHealthcare Benefits Plan of California",2022,"Rate Filing","Completed","Small Group","UHG CA INS 202210 UHCBP","2.0","2.0","114,996","10/01/2022"
"UHLC-133247440","UHC of California",2022,"Rate Filing","Completed","Small Group","UHG CA HMO 202210","-1.9","-1.9","56,314","10/01/2022"
"SHHP-133259282","Sharp Health Plan",2022,"Rate Filing","Completed","Small Group","Q42022 SG NGF Rates","3.30","3.30","24,344","10/01/2022"
"SUTT-133286239","Sutter Health Plan",2022,"Rate Filing","Completed","Small Group","SG_2022_Q4","3.1","3.1","32,723","10/01/2022"
"HNLH-133279649","Health Net of California, Inc.",2022,"Rate Filing","Completed","Small Group","SBG Rates 2022 Q4 NG","-2.8","-2.8","68,544","10/01/2022"
"BCCA-133286290","California Physicians' Service",2022,"Rate Filing","Completed","Small Group","Small Group Plans, Q4, 2022","7.6","7.6","353,770","10/01/2022"
"AWLP-133287784","Blue Cross of California",2022,"Rate Filing","Completed","Small Group","DMHC Small Group Off Exchange 4Q22","3.5","3.5","160,936","10/01/2022"
"AETN-133273548","Aetna Health of California Inc.",2022,"Rate Filing","Completed","Small Group","CA SG 4Q22 AHI","11.6","11.6","20,270","10/01/2022"
