"ReferenceID","LegalName","ReportingYear","FilingType","FilingStatus","MarketType","ProductName","ProposedRateIncrease","FinalRateIncrease","MemberAffected","DateEffective"
"SHHP-128830951","Sharp Health Plan",2013,"New Product Filing","Completed","Small Group","California Choice 3.1.13 New Product Rates","New Products","New Products","","03/01/2013"
"CCHP-128826484","Chinese Community Health Plan",2013,"New Product Filing","Completed","Individual","CCHP 2013 New ActiveChoice Rates for Individual & Family Plans","New Products","New Products","","03/01/2013"
"AWLP-128797997","Blue Cross of California",2013,"Rate Filing","Not Unreasonable (Modified)","Small Group","DMHC Small Group Rates Effective April 1, 2013","4.0","3.7","108,401","04/01/2013"
"UHLC-128851599","UHC of California",2013,"Annual/Aggregate Filing","Completed","Small Group","Annual Aggregate Rate Data Report","N/A","N/A","N/A","2012"
"SHHP-128875141","Sharp Health Plan",2013,"Rate Filing","Completed","Small Group","Small Group Rates Effective 4.1.2013","9.8","9.8","3379","04/01/2013"
"HNLH-128876636","Health Net of California, Inc.",2013,"New Product Filing","Completed","Small Group","SmartCare Plans Regions 2 & 3","New Products","New Products","","04/01/2013"
"AWLP-128891950","Blue Cross of California",2013,"Annual/Aggregate Filing","Completed","Individual","Annual Aggregate Rate Data Form","N/A","N/A","N/A","2012"
"CCHP-128895540","Chinese Community Health Plan",2013,"Annual/Aggregate Filing","Completed","Small Group","CCHP 2013 Aggregate Rate Filings for Small Group Plans","N/A","N/A","N/A","2012"
"CCHP-128895176","Chinese Community Health Plan",2013,"Annual/Aggregate Filing","Completed","Individual","CCHP 2013 Aggregate Rate Filings for Individual & Family Plans","N/A","N/A","N/A","2012"
"HNLH-128899601","Health Net of California, Inc.",2013,"Annual/Aggregate Filing","Completed","Small Group","Individual/Family and Small Business Non-pooled Plans","N/A","N/A","N/A","2012"
"SHHP-128900396","Sharp Health Plan",2013,"Annual/Aggregate Filing","Completed","Small Group","Aggregate Rate Filing Data Report - California Choice","N/A","N/A","N/A","2012"
"SHHP-128900375","Sharp Health Plan",2013,"Annual/Aggregate Filing","Completed","Small Group","Aggregate Rate Filing Data Report ","N/A","N/A","N/A","2012"
"UHLC-128883163","UHC of California",2013,"Rate Filing","Completed","Small Group","UHG CA HMO 201305 - 20130206","7.4","7.4","36436","05/01/2013"
"KHPI-128917445","Kaiser Foundation Health Plan, Inc.",2013,"Annual/Aggregate Filing","Completed","Small Group","CA Annual Aggregate Rate Data Report","N/A","N/A","N/A","2012"
"WNHA-128918449","Western Health Advantage",2013,"Annual/Aggregate Filing","Completed","Small Group","Aggregate Rate Data Report","N/A","N/A","N/A","2012"
"AETN-128917848","Aetna Health of California Inc.",2013,"Annual/Aggregate Filing","Completed","Small Group","Annual Aggregate Rate Data Report - DMHC","N/A","N/A","N/A","2012"
"MISF-128923303","County of Ventura",2013,"Annual/Aggregate Filing","Completed","Small Group","Ventura County Health Care Plan","N/A","N/A","N/A","2012"
"GEHP-128923810","GEMCare Health Plan, Inc.",2013,"Annual/Aggregate Filing","Completed","Small Group","GEMCare Health Plan","N/A","N/A","N/A","2012"
